,threshold,metric,filename,model,param_config,time
100,0.5833333333333334,0.46946564885496184,"(0, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,0
450,0.5686274509803921,0.47976011994003,"(1, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,1
800,0.3245997088791849,0.4019370460048426,"(2, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,2
1150,0.627906976744186,0.44807121661721067,"(3, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,3
1500,0.6486486486486487,0.4476987447698745,"(4, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,4
1850,0.6538461538461539,0.424,"(5, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,5
2200,0.5,0.41362916006339145,"(6, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,6
2550,0.6666666666666666,0.39631336405529954,"(7, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,7
2900,0.625,0.33960843373493976,"(8, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,8
3250,0.625,0.3902147971360382,"(9, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,9
101,1.0,0.0,"(0, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,0
451,1.0,0.0,"(1, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,1
801,1.0,0.0,"(2, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,2
1151,1.0,0.0,"(3, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,3
1501,1.0,0.0,"(4, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,4
1851,1.0,0.0,"(5, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,5
2201,1.0,0.0,"(6, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,6
